LECROYWaveRunnerkR 21099 Waveform
Segments 1 SegmentSize 100002
Segment TrigTime TimeSinceSegment1
#1 09-May-2022 14:43:36 0                 
Time Ampl
1.4884475e-006 -0.04121
1.4884975e-006 -0.0423909
1.4885475e-006 -0.0386835
1.4885975e-006 -0.037585
1.4886475e-006 -0.0392602
1.4886975e-006 -0.0405509
1.4887475e-006 -0.0417043
1.4887975e-006 -0.0408667
1.4888475e-006 -0.039013
1.4888975e-006 -0.0389856
1.4889475e-006 -0.0388757
1.4889975e-006 -0.0364041
1.4890475e-006 -0.037173
1.4890975e-006 -0.041567
1.4891475e-006 -0.0409766
1.4891975e-006 -0.0390268
1.4892475e-006 -0.0421163
1.4892975e-006 -0.0431873
1.4893475e-006 -0.0395348
1.4893975e-006 -0.0383814
1.4894475e-006 -0.0400154
1.4894975e-006 -0.0395348
1.4895475e-006 -0.0376124
1.4895975e-006 -0.0358411
1.4896475e-006 -0.0367611
1.4896975e-006 -0.04121
1.4897475e-006 -0.0444506
1.4897975e-006 -0.0432834
1.4898475e-006 -0.0396996
1.4898975e-006 -0.0392602
1.4899475e-006 -0.0392876
1.4899975e-006 -0.0361844
1.4900475e-006 -0.0376124
1.4900975e-006 -0.0407157
1.4901475e-006 -0.0380518
1.4901975e-006 -0.0363217
1.4902475e-006 -0.0385187
1.4902975e-006 -0.0389718
1.4903475e-006 -0.0389444
1.4903975e-006 -0.0396584
1.4904475e-006 -0.0378184
1.4904975e-006 -0.0371181
1.4905475e-006 -0.0383265
1.4905975e-006 -0.0394524
1.4906475e-006 -0.0417867
1.4906975e-006 -0.0409903
1.4907475e-006 -0.0381617
1.4907975e-006 -0.0389718
1.4908475e-006 -0.04029
1.4908975e-006 -0.0375712
1.4909475e-006 -0.033397
1.4909975e-006 -0.0336853
1.4910475e-006 -0.0383677
1.4910975e-006 -0.041416
1.4911475e-006 -0.0404685
1.4911975e-006 -0.039727
1.4912475e-006 -0.041567
1.4912975e-006 -0.0410727
1.4913475e-006 -0.0366101
1.4913975e-006 -0.0357175
1.4914475e-006 -0.0396721
1.4914975e-006 -0.0405646
1.4915475e-006 -0.0401664
1.4915975e-006 -0.0418966
1.4916475e-006 -0.040139
1.4916975e-006 -0.0380381
1.4917475e-006 -0.0393426
1.4917975e-006 -0.0398369
1.4918475e-006 -0.0409079
1.4918975e-006 -0.04121
1.4919475e-006 -0.0386423
1.4919975e-006 -0.0390268
1.4920475e-006 -0.0417181
1.4920975e-006 -0.0414434
1.4921475e-006 -0.0391229
1.4921975e-006 -0.0379008
1.4922475e-006 -0.0398644
1.4922975e-006 -0.0421712
1.4923475e-006 -0.0412237
1.4923975e-006 -0.0399193
1.4924475e-006 -0.039425
1.4924975e-006 -0.037379
1.4925475e-006 -0.0367199
1.4925975e-006 -0.0398644
1.4926475e-006 -0.0396584
1.4926975e-006 -0.0368023
1.4927475e-006 -0.0406333
1.4927975e-006 -0.0440249
1.4928475e-006 -0.041416
1.4928975e-006 -0.0398232
1.4929475e-006 -0.0396035
1.4929975e-006 -0.0403038
1.4930475e-006 -0.0419515
1.4930975e-006 -0.0421163
1.4931475e-006 -0.0414709
1.4931975e-006 -0.040139
1.4932475e-006 -0.0394387
1.4932975e-006 -0.0401253
1.4933475e-006 -0.0404823
1.4933975e-006 -0.0394387
1.4934475e-006 -0.0376948
1.4934975e-006 -0.0386835
1.4935475e-006 -0.0387521
1.4935975e-006 -0.0357862
1.4936475e-006 -0.0382441
1.4936975e-006 -0.0410727
1.4937475e-006 -0.0365139
1.4937975e-006 -0.0364178
1.4938475e-006 -0.0421987
1.4938975e-006 -0.0412237
1.4939475e-006 -0.0363904
1.4939975e-006 -0.0377909
1.4940475e-006 -0.0422673
1.4940975e-006 -0.040496
1.4941475e-006 -0.0365551
1.4941975e-006 -0.0373378
1.4942475e-006 -0.0397682
1.4942975e-006 -0.0386835
1.4943475e-006 -0.0353605
1.4943975e-006 -0.0365139
1.4944475e-006 -0.0393426
1.4944975e-006 -0.0382166
1.4945475e-006 -0.0376948
1.4945975e-006 -0.0417593
1.4946475e-006 -0.0446154
1.4946975e-006 -0.0410178
1.4947475e-006 -0.0373515
1.4947975e-006 -0.038505
1.4948475e-006 -0.0389993
1.4948975e-006 -0.0356352
1.4949475e-006 -0.0355528
1.4949975e-006 -0.0401527
1.4950475e-006 -0.0400291
1.4950975e-006 -0.0361295
1.4951475e-006 -0.0352095
1.4951975e-006 -0.0363217
1.4952475e-006 -0.0388757
1.4952975e-006 -0.0406196
1.4953475e-006 -0.0392327
1.4953975e-006 -0.0390817
1.4954475e-006 -0.0411551
1.4954975e-006 -0.0415396
1.4955475e-006 -0.0404548
1.4955975e-006 -0.0410178
1.4956475e-006 -0.0451783
1.4956975e-006 -0.0462219
1.4957475e-006 -0.0377223
1.4957975e-006 -0.0337265
1.4958475e-006 -0.0412237
1.4958975e-006 -0.0447389
1.4959475e-006 -0.039782
1.4959975e-006 -0.0373515
1.4960475e-006 -0.0392602
1.4960975e-006 -0.0367474
1.4961475e-006 -0.0336029
1.4961975e-006 -0.0369259
1.4962475e-006 -0.0411139
1.4962975e-006 -0.0414709
1.4963475e-006 -0.0398644
1.4963975e-006 -0.0398781
1.4964475e-006 -0.0417593
1.4964975e-006 -0.0429676
1.4965475e-006 -0.0443133
1.4965975e-006 -0.0433109
1.4966475e-006 -0.0388208
1.4966975e-006 -0.0381754
1.4967475e-006 -0.0393014
1.4967975e-006 -0.0385599
1.4968475e-006 -0.0394387
1.4968975e-006 -0.0394524
1.4969475e-006 -0.0380106
1.4969975e-006 -0.0387109
1.4970475e-006 -0.0391229
1.4970975e-006 -0.0372966
1.4971475e-006 -0.0364453
1.4971975e-006 -0.0358274
1.4972475e-006 -0.0370495
1.4972975e-006 -0.0406882
1.4973475e-006 -0.0402626
1.4973975e-006 -0.0380106
1.4974475e-006 -0.0387796
1.4974975e-006 -0.0407294
1.4975475e-006 -0.0411688
1.4975975e-006 -0.0395623
1.4976475e-006 -0.0398094
1.4976975e-006 -0.0414984
1.4977475e-006 -0.0396584
1.4977975e-006 -0.0373241
1.4978475e-006 -0.0372417
1.4978975e-006 -0.0370083
1.4979475e-006 -0.0388757
1.4979975e-006 -0.0418554
1.4980475e-006 -0.0392602
1.4980975e-006 -0.0365826
1.4981475e-006 -0.0388482
1.4981975e-006 -0.0370083
1.4982475e-006 -0.0364316
1.4982975e-006 -0.0433109
1.4983475e-006 -0.0428852
1.4983975e-006 -0.0372142
1.4984475e-006 -0.039425
1.4984975e-006 -0.0399605
1.4985475e-006 -0.036459
1.4985975e-006 -0.0410864
1.4986475e-006 -0.0453706
1.4986975e-006 -0.0410452
1.4987475e-006 -0.0376811
1.4987975e-006 -0.0372966
1.4988475e-006 -0.036459
1.4988975e-006 -0.0369396
1.4989475e-006 -0.0394387
1.4989975e-006 -0.0390405
1.4990475e-006 -0.0377086
1.4990975e-006 -0.0420202
1.4991475e-006 -0.0418554
1.4991975e-006 -0.0352095
1.4992475e-006 -0.0384226
1.4992975e-006 -0.0449998
1.4993475e-006 -0.040853
1.4993975e-006 -0.0359647
1.4994475e-006 -0.0374065
1.4994975e-006 -0.0390405
1.4995475e-006 -0.0402351
1.4995975e-006 -0.0406608
1.4996475e-006 -0.0398644
1.4996975e-006 -0.0403587
1.4997475e-006 -0.0388345
1.4997975e-006 -0.0359235
1.4998475e-006 -0.0385736
1.4998975e-006 -0.0419927
1.4999475e-006 -0.0388208
1.4999975e-006 -0.0385187
1.5000475e-006 -0.043558
1.5000975e-006 -0.0419103
1.5001475e-006 -0.0367886
1.5001975e-006 -0.0368298
1.5002475e-006 -0.0416357
1.5002975e-006 -0.0435169
1.5003475e-006 -0.03845
1.5003975e-006 -0.0373241
1.5004475e-006 -0.0406333
1.5004975e-006 -0.0402626
1.5005475e-006 -0.0396859
1.5005975e-006 -0.0410315
