LECROY;WAVERUNNER8404M;LCRY4256N21099;8.4.1;TCPIP0::192.168.41.155
TriggerTime,2022-05-11--14-33-39.757
RelativeTime Ch.#1 Ch.#2 Ch.#3 Ch.#4
[s] [V] [V] [V] [V]
-8.187372E-8 -6.692276E-3 5.017419E-4 -4.398391E-2 -2.342682E-1
-8.182372E-8 -6.933259E-3 5.176109E-4 -4.418987E-2 -2.448413E-1
-8.177372E-8 -7.018393E-3 5.635908E-4 -4.012543E-2 -2.276773E-1
-8.172372E-8 -6.800067E-3 6.392745E-4 -3.954872E-2 -2.142208E-1
-8.167372E-8 -6.699828E-3 7.084475E-4 -3.927410E-2 -2.375638E-1
-8.162372E-8 -6.713560E-3 7.389651E-4 -4.155347E-2 -2.554142E-1
-8.157372E-8 -6.841260E-3 7.275718E-4 -4.585135E-2 -2.171042E-1
-8.152372E-8 -6.810364E-3 6.771162E-4 -4.398391E-2 -2.022746E-1
-8.147372E-8 -6.250132E-3 5.831220E-4 -4.001558E-2 -2.589846E-1
-8.142372E-8 -6.169804E-3 4.716311E-4 -3.917798E-2 -2.746379E-1
-8.137372E-8 -6.893438E-3 4.048995E-4 -4.016662E-2 -2.166924E-1
-8.132372E-8 -7.281345E-3 4.183271E-4 -4.140243E-2 -1.999402E-1
-8.127372E-8 -7.333524E-3 4.765140E-4 -4.020780E-2 -2.418203E-1
-8.122372E-8 -7.422090E-3 5.216799E-4 -3.813440E-2 -2.510204E-1
-8.117372E-8 -7.208570E-3 5.269698E-4 -3.964484E-2 -2.327578E-1
-8.112372E-8 -6.790454E-3 4.976729E-4 -4.358569E-2 -2.333071E-1
-8.107372E-8 -6.616754E-3 4.569828E-4 -4.203406E-2 -2.348175E-1
-8.102372E-8 -6.891379E-3 4.427412E-4 -3.611591E-2 -2.371519E-1
-8.097372E-8 -7.293703E-3 4.695966E-4 -3.621203E-2 -2.257550E-1
-8.092372E-8 -7.277225E-3 4.960452E-4 -4.011169E-2 -1.936240E-1
-8.087372E-8 -6.791141E-3 4.651207E-4 -4.022154E-2 -2.007642E-1
-8.082372E-8 -6.456099E-3 3.874027E-4 -3.871113E-2 -2.331698E-1
-8.077372E-8 -6.518577E-3 3.316572E-4 -3.912306E-2 -2.083163E-1
-8.072372E-8 -6.390877E-3 3.340987E-4 -3.980961E-2 -1.735764E-1
-8.067372E-8 -5.947359E-3 3.613611E-4 -3.980961E-2 -2.058446E-1
